,originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isRatable,isAdult,numRegions,userReviewsTotal,countryOfOrigin,genre1,genre2,genre3,totVotes
9291,Álomfejtö,7,1980,,13,1.0,1,0,12,0,short,1,False,True,False,2,0,['HU'],Animation,Short,,20
9292,Goldfinger: Live at the House of Blues,7,2004,,83,0.0,1,0,2,0,video,0,False,True,False,2,0,['US'],Documentary,Music,,14
9293,The Quasar Enigma,9,2018,,42,0.0,1,0,45,0,tvEpisode,0,False,True,False,1,0,['US'],Documentary,,,69
9294,Nishkarsha,9,1993,,140,0.0,1,0,28,0,movie,0,False,True,False,1,1,['IN'],Action,Thriller,,233
9295,Prisoners of Lust,6,1991,,71,0.0,0,0,14,1,video,0,False,True,True,1,0,['US'],Adult,,,7
9296,Rhino!,6,1964,,91,,11,0,32,1,movie,0,False,True,False,11,4,['US'],Action,Adventure,,154
9297,A Falling Star,8,1966,,30,0.0,10,0,40,0,tvEpisode,0,False,True,False,1,1,['US'],Comedy,Family,,63
9298,The Orb,7,1976,,24,0.0,8,0,42,1,tvEpisode,0,False,True,False,1,0,['US'],Adventure,Family,Fantasy,53
9299,Cruise Control,5,1992,,20,1.0,1,0,12,0,short,2,False,True,False,1,0,['US'],Short,,,63
9300,Namma Oorukku Ennadhan Achu,5,2021,,110,0.0,1,1,7,0,movie,0,False,True,False,4,0,['IN'],Action,Drama,Romance,29
9301,Performance Show: Week Eight,8,2012,,40,0.0,0,0,307,0,tvEpisode,0,False,True,False,1,0,['US'],Family,Music,Reality-Tv,16
9302,The Interview,8,2020,,44,0.0,11,0,97,5,tvEpisode,0,False,True,False,1,0,['ZA'],Drama,Mystery,,120
9303,Bebek,7,1980,,85,3.0,3,0,24,0,movie,0,False,True,False,2,0,['TR'],Drama,,,50
